Angulo,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
0,2450,2500,2450,2350,1900,2400,2550,2200,2200,2200
10,2700,2800,2800,2600,2300,2650,2850,2450,2550,2450
20,2950,3100,3200,2900,2600,2900,3150,2700,2900,2700
30,3250,3400,3500,3100,2950,3150,3550,3000,3250,2950
40,3500,3700,3900,3400,3300,3400,3950,3300,3650,3250
50,3800,4000,4200,3700,3600,3700,4350,3600,4050,3550
60,4100,4300,4600,3950,4000,3950,4750,3900,4450,3850
70,4400,4600,5000,4200,4350,4250,5150,4200,4850,4150
80,4700,4900,5400,4500,4700,4500,5650,4500,5225,4450
90,5000,5200,5800,4800,5050,4750,6050,4800,5550,4750
100,5300,5500,6200,5150,5450,5050,6450,5100,5875,5050
110,5600,5800,6600,5400,5850,5400,6850,5400,6200,5350
120,5900,6100,7000,5750,6200,5650,7250,5700,6600,5650
130,6200,6500,7400,6000,6550,5900,7650,6000,7000,5950
140,6500,6800,7800,6250,6900,6150,8050,6300,7350,6200
150,6800,7200,8200,6500,7300,6400,8450,6600,7700,6400
160,7100,7500,8500,6750,7600,6650,8800,6900,8025,6650
170,7400,7800,8880,7100,7950,6900,9250,7200,8350,6900
180,7700,8150,9200,7350,8300,7200,9550,7500,8650,7200